Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
33,Exit short,2020-01-12 18:30,Long,3953.5,1,19820,50.5,0.25,99,0.50,-21,-0.11,260.25,0.03
33,Entry short,2020-01-10 08:15,Short,3964,1,19820,50.5,0.25,99,0.50,-21,-0.11,260.25,0.03
34,Exit long,2020-01-13 06:45,Short,3957,1,19767.5,15.5,0.08,39,0.20,-18.5,-0.09,275.75,0.03
34,Entry long,2020-01-12 18:30,Long,3953.5,1,19767.5,15.5,0.08,39,0.20,-18.5,-0.09,275.75,0.03
35,Exit short,2020-01-13 07:45,Long,3958.75,1,19785,-10.75,-0.05,11.5,0.06,-9.75,-0.05,265,0.03
35,Entry short,2020-01-13 06:45,Short,3957,1,19785,-10.75,-0.05,11.5,0.06,-9.75,-0.05,265,0.03
36,Exit long,2020-01-13 09:15,Short,3956,1,19793.75,-15.75,-0.08,7.75,0.04,-14.75,-0.07,249.25,0.02
36,Entry long,2020-01-13 07:45,Long,3958.75,1,19793.75,-15.75,-0.08,7.75,0.04,-14.75,-0.07,249.25,0.02
37,Exit short,2020-01-13 11:00,Long,3961,1,19780,-27,-0.14,22.75,0.12,-27.25,-0.14,222.25,0.02
37,Entry short,2020-01-13 09:15,Short,3956,1,19780,-27,-0.14,22.75,0.12,-27.25,-0.14,222.25,0.02
38,Exit long,2020-01-13 22:15,Short,3973.75,1,19805,61.75,0.31,92.75,0.47,-8.5,-0.04,284,0.03
38,Entry long,2020-01-13 11:00,Long,3961,1,19805,61.75,0.31,92.75,0.47,-8.5,-0.04,284,0.03
39,Exit short,2020-01-14 04:00,Long,3966.5,1,19868.75,34.25,0.17,75.25,0.38,-4.75,-0.02,318.25,0.03
39,Entry short,2020-01-13 22:15,Short,3973.75,1,19868.75,34.25,0.17,75.25,0.38,-4.75,-0.02,318.25,0.03
40,Exit long,2020-01-14 06:00,Short,3969.25,1,19832.5,11.75,0.06,45.25,0.23,-7.25,-0.04,330,0.03
40,Entry long,2020-01-14 04:00,Long,3966.5,1,19832.5,11.75,0.06,45.25,0.23,-7.25,-0.04,330,0.03
41,Exit short,2020-01-14 12:00,Long,3972.25,1,19846.25,-17,-0.09,34,0.17,-18.5,-0.09,313,0.03
