Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
105,Entry long,2024-05-01 07:15,Long,5518.25,1,27591.25,8,0.03,70.25,0.25,-41,-0.15,306.25,0.03
106,Exit short,2024-05-01 14:15,Short Exit,5542.25,1,27601.25,-112,-0.41,37.75,0.14,-111,-0.40,194.25,0.02
106,Entry short,2024-05-01 11:15,Short,5520.25,1,27601.25,-112,-0.41,37.75,0.14,-111,-0.40,194.25,0.02
107,Exit long,2024-05-01 15:45,Short,5545.75,1,27723.75,3,0.01,257.75,0.93,-108.5,-0.39,197.25,0.02
107,Entry long,2024-05-01 14:30,Long,5544.75,1,27723.75,3,0.01,257.75,0.93,-108.5,-0.39,197.25,0.02
108,Exit short,2024-05-01 22:45,Long,5545.75,1,27728.75,-2,-0.01,156.5,0.56,-46,-0.17,195.25,0.02
108,Entry short,2024-05-01 15:45,Short,5545.75,1,27728.75,-2,-0.01,156.5,0.56,-46,-0.17,195.25,0.02
109,Exit long,2024-05-02 09:45,Short,5536.5,1,27728.75,-48.25,-0.17,72.75,0.26,-56,-0.20,147,0.01
109,Entry long,2024-05-01 22:45,Long,5545.75,1,27728.75,-48.25,-0.17,72.75,0.26,-56,-0.20,147,0.01
110,Exit short,2024-05-02 11:00,Long,5536.25,1,27682.5,-0.75,0.00,150.25,0.54,-11,-0.04,146.25,0.01
110,Entry short,2024-05-02 09:45,Short,5536.5,1,27682.5,-0.75,0.00,150.25,0.54,-11,-0.04,146.25,0.01
111,Exit long,2024-05-03 03:30,Short,5569.5,1,27681.25,164.25,0.59,259,0.94,-58.5,-0.21,310.5,0.03
111,Entry long,2024-05-02 11:00,Long,5536.25,1,27681.25,164.25,0.59,259,0.94,-58.5,-0.21,310.5,0.03
112,Exit short,2024-05-03 04:30,Long,5577.25,1,27847.5,-40.75,-0.15,0.25,0.00,-42.25,-0.15,269.75,0.03
112,Entry short,2024-05-03 03:30,Short,5569.5,1,27847.5,-40.75,-0.15,0.25,0.00,-42.25,-0.15,269.75,0.03
113,Exit long,2024-05-03 08:30,Long Exit,5613.5,1,27886.25,179.25,0.64,180.25,0.65,-11,-0.04,449,0.04
113,Entry long,2024-05-03 04:30,Long,5577.25,1,27886.25,179.25,0.64,180.25,0.65,-11,-0.04,449,0.04
114,Exit short,2024-05-03 12:30,Long,5621.25,1,28040,-68.25,-0.24,54,0.19,-76,-0.27,380.75,0.04
114,Entry short,2024-05-03 10:15,Short,5608,1,28040,-68.25,-0.24,54,0.19,-76,-0.27,380.75,0.04
115,Exit long,2024-05-07 03:45,Short,5674.75,1,28106.25,265.5,0.94,292.75,1.04,-28.5,-0.10,646.25,0.06
115,Entry long,2024-05-03 12:30,Long,5621.25,1,28106.25,265.5,0.94,292.75,1.04,-28.5,-0.10,646.25,0.06
116,Exit short,2024-05-07 04:45,Long,5681.25,1,28373.75,-34.5,-0.12,11.5,0.04,-34.75,-0.12,611.75,0.06
116,Entry short,2024-05-07 03:45,Short,5674.75,1,28373.75,-34.5,-0.12,11.5,0.04,-34.75,-0.12,611.75,0.06
117,Exit long,2024-05-07 07:30,Short,5676,1,28406.25,-28.25,-0.10,9,0.03,-28.5,-0.10,583.5,0.06
117,Entry long,2024-05-07 04:45,Long,5681.25,1,28406.25,-28.25,-0.10,9,0.03,-28.5,-0.10,583.5,0.06
118,Exit short,2024-05-07 08:45,Long,5681.75,1,28380,-30.75,-0.11,2.75,0.01,-29.75,-0.10,552.75,0.06
118,Entry short,2024-05-07 07:30,Short,5676,1,28380,-30.75,-0.11,2.75,0.01,-29.75,-0.10,552.75,0.06
119,Exit long,2024-05-07 14:00,Short,5681,1,28408.75,-5.75,-0.02,75.25,0.26,-14.75,-0.05,547,0.05
119,Entry long,2024-05-07 08:45,Long,5681.75,1,28408.75,-5.75,-0.02,75.25,0.26,-14.75,-0.05,547,0.05
120,Exit short,2024-05-08 03:15,Long,5686.25,1,28405,-28.25,-0.10,25.25,0.09,-43.5,-0.15,518.75,0.05
120,Entry short,2024-05-07 14:00,Short,5681,1,28405,-28.25,-0.10,25.25,0.09,-43.5,-0.15,518.75,0.05
121,Exit long,2024-05-08 04:45,Short,5682,1,28431.25,-23.25,-0.08,9,0.03,-22.25,-0.08,495.5,0.05
121,Entry long,2024-05-08 03:15,Long,5686.25,1,28431.25,-23.25,-0.08,9,0.03,-22.25,-0.08,495.5,0.05
122,Exit short,2024-05-08 10:00,Long,5675.5,1,28410,30.5,0.11,114,0.40,-19.75,-0.07,526,0.05
122,Entry short,2024-05-08 04:45,Short,5682,1,28410,30.5,0.11,114,0.40,-19.75,-0.07,526,0.05
123,Exit long,2024-05-08 12:45,Short,5675.5,1,28377.5,-2,-0.01,59,0.21,-26,-0.09,524,0.05
123,Entry long,2024-05-08 10:00,Long,5675.5,1,28377.5,-2,-0.01,59,0.21,-26,-0.09,524,0.05
124,Exit short,2024-05-09 06:30,Long,5675,1,28377.5,0.5,0.00,50.25,0.18,-59.75,-0.21,524.5,0.05
124,Entry short,2024-05-08 12:45,Short,5675.5,1,28377.5,0.5,0.00,50.25,0.18,-59.75,-0.21,524.5,0.05
125,Exit long,2024-05-09 16:00,Long Exit,5713.25,1,28375,189.25,0.67,190.25,0.67,-24.75,-0.09,713.75,0.07
125,Entry long,2024-05-09 06:30,Long,5675,1,28375,189.25,0.67,190.25,0.67,-24.75,-0.09,713.75,0.07
126,Exit short,2024-05-10 09:45,Long,5730.75,1,28625,-30.75,-0.11,25.25,0.09,-38.5,-0.13,683,0.07
126,Entry short,2024-05-10 07:15,Short,5725,1,28625,-30.75,-0.11,25.25,0.09,-38.5,-0.13,683,0.07
127,Exit long,2024-05-10 10:15,Short,5722.25,1,28653.75,-44.5,-0.16,16.5,0.06,-51,-0.18,638.5,0.06
127,Entry long,2024-05-10 09:45,Long,5730.75,1,28653.75,-44.5,-0.16,16.5,0.06,-51,-0.18,638.5,0.06
128,Exit short,2024-05-12 23:30,Long,5719.75,1,28611.25,10.5,0.04,95.25,0.33,-9.75,-0.03,649,0.06
128,Entry short,2024-05-10 10:15,Short,5722.25,1,28611.25,10.5,0.04,95.25,0.33,-9.75,-0.03,649,0.06
129,Exit long,2024-05-13 09:45,Short,5720.5,1,28598.75,1.75,0.01,71.5,0.25,-9.75,-0.03,650.75,0.07
129,Entry long,2024-05-12 23:30,Long,5719.75,1,28598.75,1.75,0.01,71.5,0.25,-9.75,-0.03,650.75,0.07
130,Exit short,2024-05-14 02:00,Long,5715.75,1,28602.5,21.75,0.08,84,0.29,-23.5,-0.08,672.5,0.07
130,Entry short,2024-05-13 09:45,Short,5720.5,1,28602.5,21.75,0.08,84,0.29,-23.5,-0.08,672.5,0.07
131,Exit long,2024-05-14 08:30,Long Exit,5708.25,1,28578.75,-39.5,-0.14,22.75,0.08,-38.5,-0.13,633,0.06
