official_id,family,scope_label,format,trades,wins,losses,win_rate,net_pnl_usd,avg_trade_usd,start_dt,end_dt,source_bucket,file_name,abs_path,sha256
BT032,WB7,full_2020plus,tv_strategy_export,766,318,448,41.51,-1099.5,-1.44,2020-01-02 10:45,2026-04-08 15:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_6b687.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_6b687.csv,bc5e8af4e64149f8a76ca4a0735665653a7a67dcf9bb4f12c25104ee0820210a
BT033,WB7,full_2020plus,tv_strategy_export,390,150,240,38.46,-1195.0,-3.06,2020-01-07 08:30,2026-04-15 10:15,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-15_196a0.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-15_196a0.csv,fb3148c292c0bcf2d04c1f86f4661ae78f5d7a828836b2b9ec7d2dd14733f898
BT034,WB7,post_break_2025plus,tv_strategy_export,55,15,40,27.27,-1340.0,-24.36,2025-04-22 10:45,2026-04-02 22:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-14_9a2cc.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-14_9a2cc.csv,f6aacb75d6b34a92c17d0508cda43f58857f97ece233b2a764d12a6d32f90702
BT035,WB7,legacy_pre2020,tv_strategy_export,829,335,494,40.41,-1608.0,-1.94,2019-05-06 03:30,2026-04-08 15:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_3b299.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_3b299.csv,fd7fde01d6dce052acc74172bb49d044b90606eb8ec63fc27d44159d8b5509ca
BT036,WB7,full_2020plus,tv_strategy_export,276,111,165,40.22,-2152.0,-7.8,2020-01-02 13:30,2026-04-09 21:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-12_af83f.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-12_af83f.csv,b5c3ac41cf9903c67f47deb7d7ae1f90dab14df85e190d440c9e946ca3d058ee
BT037,WB7,full_2020plus,tv_strategy_export,846,226,620,26.71,-2775.75,-3.28,2020-01-06 03:45,2026-04-10 16:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_f29bd.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_f29bd.csv,7be1c595f9a1e550eaaafb01b011e405cd4fe26d565a983b8d1b702b741c8855
BT038,WB7,full_2020plus,tv_strategy_export,576,120,456,20.83,-3179.5,-5.52,2020-01-06 07:30,2026-04-12 18:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_555e9.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_555e9.csv,4c74ce7cb2281b003f2ef31da347285c7cb8c0eab13d959a60f2587177d4e0d8
BT039,WB7,full_2020plus,tv_strategy_export,377,130,247,34.48,-3737.75,-9.91,2020-01-07 08:30,2026-04-10 11:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-14_df2fc.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-14_df2fc.csv,eac985273c674f8705371593d897a533aa7c075fa0c7f7fd810392b24deaa435
BT040,WB7,legacy_pre2020,tv_strategy_export,374,245,129,65.51,-4227.51,-11.3,2019-05-13 09:45,2026-04-06 10:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-06_cbd66.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-06_cbd66.csv,a7d977ad470de8165cea0ab726ba447cc1b3c2fa467759d8255ae2622998bb07
BT041,WB7,legacy_pre2020,tv_strategy_export,80,49,31,61.25,-4486.7,-56.08,2019-07-22 02:00,2026-03-08 18:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-09_d41d8.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-09_d41d8.csv,1332675daad75abbf00fe19b91a652dac64325ddd64098ef1755a0ac34aa5471
BT042,WB7,full_2020plus,tv_strategy_export,526,192,334,36.5,-5037.0,-9.58,2020-01-07 08:30,2026-04-10 11:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_ec56b.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_ec56b.csv,50d6430f5e50de9f184b46db91fb8a37d4b3a9107f602e1d1f1739801c16de9a
BT043,WB7,full_2020plus,tv_strategy_export,307,105,202,34.2,-6074.0,-19.79,2020-01-07 08:45,2026-04-02 22:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-14_eab25.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-14_eab25.csv,eeb457a19be6bef6604fe3b5a6c6e36534da57e597e0033e5cb3109a0495dde9
BT044,WB7,full_2020plus,tv_strategy_export,492,79,413,16.06,-7882.75,-16.02,2020-01-06 07:30,2026-04-10 12:30,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_bda84.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_bda84.csv,8d90a9bea4939cb81b6f6f5f4118c609578f282430b3a56f1a6a1291f49bfdd7
BT045,WB7,full_2020plus,tv_strategy_export,462,125,337,27.06,-8565.25,-18.54,2020-01-07 08:30,2026-04-10 12:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-13_0f8bc.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-13_0f8bc.csv,51c00cd67becb5c3b29952206075cee7c08869d7187174860de67d95155cca48
BT046,WB7,legacy_pre2020,tv_strategy_export,3589,2111,1478,58.82,-8720.36,-2.43,2019-05-06 09:30,2026-04-10 13:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-10_593ad.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-10_593ad.csv,7f7fc29daba8792751eb00088081211f51ce5cc10067e7f4093298b5362f2cb2
BT047,WB7,legacy_pre2020,tv_strategy_export,2308,1464,844,63.43,-8885.67,-3.85,2019-05-08 20:30,2026-04-09 19:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-09_bfc69.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-09_bfc69.csv,e5bd96faa170cac25151f8ef6d133f65c4dce606ed7eaaef6f16a81a7dde5a04
BT048,WB7,legacy_pre2020,tv_strategy_export,1998,624,1374,31.23,-9242.52,-4.63,2019-05-06 14:45,2026-04-10 14:15,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-10_08283.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-10_08283.csv,2e5fceea2a4c8b57a7789b83403897a1b57d9c8f07430912dc3aa790de99d623
BT049,WB7,legacy_pre2020,tv_strategy_export,2595,819,1776,31.56,-15757.8,-6.07,2019-05-06 11:15,2026-04-10 12:45,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-10_0e5e9.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-10_0e5e9.csv,a47ee00b65a0d04c144277ae7e2be19b2e3a85699bbe3bd009675a82196feb52
BT050,WB7,legacy_pre2020,tv_strategy_export,2067,627,1440,30.33,-16099.33,-7.79,2019-05-06 14:45,2026-04-07 16:15,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-10_7fcc8.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-10_7fcc8.csv,9bece7802c6b6ec65e7db6567e4d6550d970fece4e7e3dc0e1c0688bb07f03cc
BT051,WB7,legacy_pre2020,tv_strategy_export,8120,2182,5938,26.87,-19553.8,-2.41,2019-05-06 03:15,2025-05-26 23:00,downloads,WB7_Strat_CME_MINI_MES1!_2026-04-10_76bb5.csv,/Users/zincdigital/Downloads/WB7_Strat_CME_MINI_MES1!_2026-04-10_76bb5.csv,6a9d2e972f930ebbfda7a9fff4260279f10acfe01408a681e530584126588ac7
